"","node1","node2","score"
"659","CCNA2","KIF20A",0.974
"660","CCNA2","CHEK1",0.939
"661","CCNA2","E2F5",0.775
"662","CCNA2","TOP2A",0.982
"663","CCNA2","PBK",0.943
"664","CCNA2","CDCA3",0.94
"665","CCNA2","TIMELESS",0.41
"666","CCNA2","TK1",0.78
"667","CCNA2","MYC",0.734
"668","CCNA2","UHRF1",0.742
"669","CCNA2","MCM3",0.869
"670","CCNA2","UBE2T",0.637
"671","CCNA2","NUSAP1",0.922
"672","CCNB1","TRIP13",0.797
"673","CCNB1","RNASEH2A",0.461
"674","CCNB1","RAD51AP1",0.618
"675","CCNB1","CDC25B",0.951
"676","CCNB1","MET",0.402
"677","CCNB1","E2F5",0.41
"678","CCNB1","TFDP1",0.429
"679","CCNB1","CXCL1",0.477
"680","CCNB1","LMNB2",0.509
"681","CCNB1","STIL",0.527
"682","CCNB1","CDCA7",0.54
"683","CCNB1","RCC2",0.548
"684","CCNB1","RAD54L",0.556
"685","CCNB1","UHRF1",0.567
"686","CCNB1","PRKDC",0.603
"687","CCNB1","MCM2",0.608
"688","CCNB1","DNMT1",0.608
"689","CCNB1","TROAP",0.626
"690","CCNB1","DTL",0.643
"691","CCNB1","RFC4",0.651
"692","CCNB1","MCM7",0.667
"693","CCNB1","TACC3",0.703
"694","CCNB1","EXO1",0.773
"695","CCNB1","MCM3",0.776
"696","CCNB1","PCLAF",0.796
"697","CCNB1","CDT1",0.798
"698","CCNB1","TYMS",0.841
"699","CCNB1","UBE2T",0.851
"700","CCNB1","CDCA5",0.869
"701","CCNB1","MCM4",0.869
"702","CCNB1","MYC",0.872
"703","CCNB1","TK1",0.879
"704","CCNB1","KIF15",0.916
"705","CCNB1","NUSAP1",0.923
"706","CCNB1","KIF4A",0.931
"707","CCNB1","PRC1",0.932
"708","CCNB1","CHEK1",0.935
"709","CCNB1","TTK",0.936
"710","CCNB1","CDCA3",0.936
"711","CCNB1","CDK4",0.94
"712","CCNB1","CEP55",0.94
"713","CCNB1","CDKN3",0.941
"714","CCNB1","HMMR",0.942
"715","CCNB1","TPX2",0.949
"716","CCNB1","CENPA",0.953
"717","CCNB1","KIF20A",0.954
"718","CCNB1","PBK",0.962
"719","CCNB1","KIF2C",0.966
"720","CCNB1","KIF11",0.966
"721","CCNB1","MELK",0.972
"722","CCNB1","PTTG1",0.984
"723","CCNB1","CDCA8",0.987
"724","CCNB1","CENPF",0.988
"725","CCNB1","MAD2L1",0.988
"726","CCNB1","TOP2A",0.989
"727","CCNB1","UBE2C",0.99
"728","CCNB1","CDC25A",0.995
"729","CCNB1","CCNB2",0.998
"730","CCNB1","CKS1B",0.998
"731","CCNB1","CKS2",0.999
"732","CCNB1","CDC20",0.999
"733","CCNB2","TRIP13",0.741
"734","CCNB2","RNASEH2A",0.44
"735","CCNB2","RAD51AP1",0.734
"736","CCNB2","CDC25B",0.847
"737","CCNB2","CDK4",0.782
"738","CCNB2","TROAP",0.674
"739","CCNB2","KIF11",0.944
"740","CCNB2","MCM4",0.866
"741","CCNB2","MCM2",0.873
"742","CCNB2","CDCA5",0.969
"743","CCNB2","TIMELESS",0.413
"744","CCNB2","TFDP1",0.417
"745","CCNB2","IQGAP3",0.42
"746","CCNB2","MYC",0.438
"747","CCNB2","STIL",0.464
"748","CCNB2","HMGB2",0.469
"749","CCNB2","UHRF1",0.522
"750","CCNB2","RCC2",0.548
"751","CCNB2","DTL",0.562
"752","CCNB2","CDCA7",0.609
"753","CCNB2","RAD54L",0.613
"754","CCNB2","UBE2T",0.662
"755","CCNB2","MCM3",0.668
"756","CCNB2","TACC3",0.67
"757","CCNB2","EXO1",0.744
"758","CCNB2","MCM7",0.752
"759","CCNB2","RFC4",0.785
"760","CCNB2","CDT1",0.822
"761","CCNB2","KIF15",0.828
"762","CCNB2","CHEK1",0.833
"763","CCNB2","KIF4A",0.864
"764","CCNB2","TYMS",0.868
"765","CCNB2","TK1",0.88
"766","CCNB2","PBK",0.88
"767","CCNB2","PCLAF",0.882
"768","CCNB2","HMMR",0.888
"769","CCNB2","CDKN3",0.893
"770","CCNB2","CEP55",0.907
"771","CCNB2","CDCA3",0.913
"772","CCNB2","PRC1",0.925
"773","CCNB2","KIF20A",0.938
"774","CCNB2","CKS1B",0.952
"775","CCNB2","TPX2",0.953
"776","CCNB2","TTK",0.96
"777","CCNB2","MAD2L1",0.962
"778","CCNB2","NUSAP1",0.962
"779","CCNB2","UBE2C",0.968
"780","CCNB2","PTTG1",0.97
"781","CCNB2","KIF2C",0.971
"782","CCNB2","CDC25A",0.973
"783","CCNB2","CDCA8",0.974
"784","CCNB2","CENPF",0.974
"785","CCNB2","MELK",0.975
"786","CCNB2","CENPA",0.975
"787","CCNB2","TOP2A",0.975
"788","CCNB2","CKS2",0.976
"789","CCNB2","CDC20",0.999
"790","CCT2","FBL",0.53
"791","CCT2","HSPE1",0.894
"792","CCT2","TRAP1",0.47
"793","CCT2","CDK4",0.551
"794","CCT2","WDR12",0.526
"795","CCT2","SNRPF",0.454
"796","CCT2","RANBP1",0.426
"797","CCT2","RPS21",0.439
"798","CCT2","POLR1C",0.446
"799","CCT2","RPS7",0.482
"800","CCT2","TOP2A",0.482
"801","CCT2","PPA1",0.493
"802","CCT2","GNG4",0.507
"803","CCT2","IMPDH2",0.542
"804","CCT2","PAICS",0.585
"805","CCT2","HSPH1",0.617
"806","CCT2","HSPD1",0.668
"807","CCT2","CDC20",0.996
"808","CD209","CXCL10",0.519
"809","CD209","CD46",0.489
"810","CD209","CXCL9",0.434
"811","CD209","CEL",0.588
"812","CD46","ITGA2",0.439
"813","CD46","CFB",0.724
"814","CD46","CD55",0.834
"815","CD55","CFB",0.801
"816","CDC20","TRIP13",0.996
"817","CDC20","RNASEH2A",0.492
"818","CDC20","RAD51AP1",0.737
"819","CDC20","CDC25B",0.786
"820","CDC20","CDK4",0.785
"821","CDC20","TROAP",0.827
"822","CDC20","KIF11",0.987
"823","CDC20","MCM4",0.882
"824","CDC20","CHTF18",0.408
"825","CDC20","MCM2",0.733
"826","CDC20","SNRPF",0.516
"827","CDC20","CDCA5",0.938
"828","CDC20","MAD2L1",0.999
"829","CDC20","MELK",0.964
"830","CDC20","PCLAF",0.881
"831","CDC20","TPX2",0.961
"832","CDC20","CDT1",0.921
"833","CDC20","CDC25A",0.839
"834","CDC20","CDCA7",0.58
"835","CDC20","MCM7",0.821
"836","CDC20","CKS1B",0.971
"837","CDC20","TYMS",0.757
"838","CDC20","KIF15",0.836
"839","CDC20","TACC3",0.842
"840","CDC20","LMNB2",0.474
"841","CDC20","CDKN3",0.885
"842","CDC20","CENPA",0.986
"843","CDC20","UBE2C",0.999
"844","CDC20","IQGAP3",0.617
"845","CDC20","EXO1",0.796
"846","CDC20","CENPF",0.99
"847","CDC20","DTL",0.678
"848","CDC20","TTK",0.99
"849","CDC20","CEP55",0.95
"850","CDC20","STIL",0.574
"851","CDC20","RAD54L",0.685
"852","CDC20","KIF2C",0.995
"853","CDC20","PAICS",0.562
"854","CDC20","MYC",0.581
"855","CDC20","TFDP1",0.599
"856","CDC20","UBE2T",0.679
"857","CDC20","UHRF1",0.685
"858","CDC20","RFC4",0.756
"859","CDC20","CHEK1",0.771
"860","CDC20","MCM3",0.845
"861","CDC20","RCC2",0.866
"862","CDC20","HMMR",0.882
"863","CDC20","TK1",0.883
"864","CDC20","KIF4A",0.941
"865","CDC20","NUSAP1",0.946
"866","CDC20","PRC1",0.947
"867","CDC20","PBK",0.959
"868","CDC20","CKS2",0.971
"869","CDC20","TOP2A",0.98
"870","CDC20","CDCA3",0.981
"871","CDC20","KIF20A",0.981
"872","CDC20","CDCA8",0.992
"873","CDC20","PTTG1",0.999
"874","CDC25A","TRIP13",0.503
"875","CDC25A","RAD51AP1",0.44
"876","CDC25A","ODC1",0.446
"877","CDC25A","CDC25B",0.938
"878","CDC25A","CDK4",0.979
"879","CDC25A","KIF11",0.58
"880","CDC25A","MCM4",0.715
"881","CDC25A","MCM2",0.548
"882","CDC25A","CDCA5",0.588
"883","CDC25A","MAD2L1",0.585
"884","CDC25A","MELK",0.567
"885","CDC25A","TPX2",0.505
"886","CDC25A","CDT1",0.748
"887","CDC25A","TK1",0.405
"888","CDC25A","NUSAP1",0.415
"889","CDC25A","CDCA3",0.453
"890","CDC25A","UHRF1",0.473
"891","CDC25A","TYMS",0.479
"892","CDC25A","KIF20A",0.484
"893","CDC25A","TRIB3",0.486
"894","CDC25A","UBE2C",0.486
"895","CDC25A","PRKDC",0.494
"896","CDC25A","LMNB2",0.497
"897","CDC25A","KIF4A",0.506
"898","CDC25A","CEP55",0.513
"899","CDC25A","CENPF",0.514
"900","CDC25A","KIF15",0.517
"901","CDC25A","PRC1",0.519
"902","CDC25A","CKS2",0.521
"903","CDC25A","CENPA",0.524
"904","CDC25A","TTK",0.529
"905","CDC25A","PTTG1",0.53
"906","CDC25A","CKS1B",0.537
"907","CDC25A","PBK",0.537
"908","CDC25A","MCM3",0.553
"909","CDC25A","KIF2C",0.562
"910","CDC25A","CDCA8",0.566
"911","CDC25A","CDKN3",0.567
"912","CDC25A","TOP2A",0.577
"913","CDC25A","HMMR",0.589
"914","CDC25A","MCM7",0.631
"915","CDC25A","RFC4",0.663
"916","CDC25A","RAD54L",0.692
"917","CDC25A","E2F5",0.698
"918","CDC25A","EXO1",0.705
"919","CDC25A","DTL",0.755
"920","CDC25A","TFDP1",0.778
"921","CDC25A","MYC",0.95
"922","CDC25A","CHEK1",0.999
"923","CDC25B","MCM3",0.426
"924","CDC25B","PTTG1",0.438
"925","CDC25B","TOP2A",0.445
"926","CDC25B","KIF11",0.445
"927","CDC25B","MAD2L1",0.453
"928","CDC25B","CKS2",0.453
"929","CDC25B","CKS1B",0.491
"930","CDC25B","MCM7",0.506
"931","CDC25B","CDCA8",0.512
"932","CDC25B","CENPA",0.517
"933","CDC25B","CDT1",0.567
"934","CDC25B","MYC",0.621
"935","CDC25B","CENPF",0.73
"936","CDC25B","MELK",0.764
"937","CDC25B","CDK4",0.77
"938","CDC25B","CHEK1",0.984
"939","CDCA3","TRIP13",0.774
"940","CDCA3","RAD51AP1",0.504
"941","CDCA3","CDK4",0.401
"942","CDCA3","TROAP",0.857
"943","CDCA3","KIF11",0.922
"944","CDCA3","MCM4",0.669
"945","CDCA3","MCM2",0.443
"946","CDCA3","CDCA5",0.894
"947","CDCA3","MAD2L1",0.722
"948","CDCA3","MELK",0.872
"949","CDCA3","PCLAF",0.811
"950","CDCA3","TPX2",0.881
"951","CDCA3","CDT1",0.608
"952","CDCA3","CDCA7",0.619
"953","CDCA3","CKS1B",0.514
"954","CDCA3","TYMS",0.533
"955","CDCA3","KIF15",0.788
"956","CDCA3","TACC3",0.773
"957","CDCA3","CDKN3",0.859
"958","CDCA3","CENPA",0.89
"959","CDCA3","UBE2C",0.962
"960","CDCA3","EXO1",0.671
"961","CDCA3","CENPF",0.781
"962","CDCA3","DTL",0.44
"963","CDCA3","TTK",0.858
"964","CDCA3","CEP55",0.876
"965","CDCA3","STIL",0.526
"966","CDCA3","RAD54L",0.698
"967","CDCA3","KIF2C",0.93
"968","CDCA3","CDCA8",0.975
"969","CDCA3","KIF4A",0.927
"970","CDCA3","CKS2",0.548
"971","CDCA3","HMMR",0.861
"972","CDCA3","PTTG1",0.838
"973","CDCA3","PRC1",0.735
"974","CDCA3","KIF20A",0.93
"975","CDCA3","CHEK1",0.671
"976","CDCA3","TOP2A",0.876
"977","CDCA3","PBK",0.946
"978","CDCA3","UHRF1",0.575
"979","CDCA3","UBE2T",0.581
"980","CDCA3","TK1",0.606
"981","CDCA3","MCM3",0.607
"982","CDCA3","NUSAP1",0.905
"983","CDCA5","TRIP13",0.876
"984","CDCA5","RNASEH2A",0.468
"985","CDCA5","RAD51AP1",0.724
"986","CDCA5","TROAP",0.633
"987","CDCA5","KIF11",0.844
"988","CDCA5","MCM4",0.661
"989","CDCA5","CHTF18",0.517
"990","CDCA5","POLQ",0.412
"991","CDCA5","MCM2",0.643
"992","CDCA5","STIL",0.404
"993","CDCA5","MCM7",0.494
"994","CDCA5","CKS1B",0.509
"995","CDCA5","RFC4",0.524
"996","CDCA5","TIMELESS",0.551
"997","CDCA5","MCM3",0.568
"998","CDCA5","CKS2",0.58
"999","CDCA5","RAD54L",0.622
"1000","CDCA5","CDKN3",0.634
"1001","CDCA5","PCLAF",0.647
"1002","CDCA5","KIF15",0.654
"1003","CDCA5","EXO1",0.663
"1004","CDCA5","TK1",0.671
"1005","CDCA5","DTL",0.676
"1006","CDCA5","MAD2L1",0.685
"1007","CDCA5","CDCA7",0.691
"1008","CDCA5","TYMS",0.73
"1009","CDCA5","TTK",0.734
"1010","CDCA5","PBK",0.736
"1011","CDCA5","UHRF1",0.762
"1012","CDCA5","CHEK1",0.767
"1013","CDCA5","UBE2T",0.823
"1014","CDCA5","PTTG1",0.829
"1015","CDCA5","PRC1",0.829
"1016","CDCA5","HMMR",0.831
"1017","CDCA5","NUSAP1",0.832
"1018","CDCA5","UBE2C",0.835
"1019","CDCA5","CDT1",0.842
"1020","CDCA5","CENPA",0.856
"1021","CDCA5","CENPF",0.857
"1022","CDCA5","CEP55",0.873
"1023","CDCA5","MELK",0.875
"1024","CDCA5","KIF20A",0.88
"1025","CDCA5","TPX2",0.883
"1026","CDCA5","KIF4A",0.887
"1027","CDCA5","KIF2C",0.893
"1028","CDCA5","TOP2A",0.917
"1029","CDCA5","CDCA8",0.961
"1030","CDCA7","TRIP13",0.486
"1031","CDCA7","RAD51AP1",0.549
"1032","CDCA7","KIF11",0.529
"1033","CDCA7","MCM4",0.583
"1034","CDCA7","MCM2",0.454
"1035","CDCA7","MAD2L1",0.511
"1036","CDCA7","MELK",0.525
"1037","CDCA7","PCLAF",0.48
"1038","CDCA7","TPX2",0.503
"1039","CDCA7","CDT1",0.417
"1040","CDCA7","TACC3",0.4
"1041","CDCA7","MCM7",0.416
"1042","CDCA7","RFC4",0.418
"1043","CDCA7","CHEK1",0.421
"1044","CDCA7","CKS2",0.426
"1045","CDCA7","RAD54L",0.429
"1046","CDCA7","PBK",0.449
"1047","CDCA7","MCM3",0.481
"1048","CDCA7","DTL",0.484
"1049","CDCA7","TYMS",0.485
"1050","CDCA7","EXO1",0.492
"1051","CDCA7","KIF15",0.495
"1052","CDCA7","CENPF",0.502
"1053","CDCA7","TTK",0.504
"1054","CDCA7","HMMR",0.519
"1055","CDCA7","UBE2T",0.527
"1056","CDCA7","KIF2C",0.533
"1057","CDCA7","CENPA",0.547
"1058","CDCA7","NUSAP1",0.553
"1059","CDCA7","MYC",0.586
"1060","CDCA7","UBE2C",0.594
"1061","CDCA7","TOP2A",0.609
"1062","CDCA7","KIF4A",0.619
"1063","CDCA7","KIF20A",0.624
"1064","CDCA7","UHRF1",0.629
"1065","CDCA7","CDCA8",0.67
"1066","CDCA8","TRIP13",0.736
"1067","CDCA8","RNASEH2A",0.411
"1068","CDCA8","RAD51AP1",0.617
"1069","CDCA8","CDK4",0.606
"1070","CDCA8","TROAP",0.794
"1071","CDCA8","KIF11",0.964
"1072","CDCA8","MCM4",0.694
"1073","CDCA8","MCM2",0.593
"1074","CDCA8","MAD2L1",0.935
"1075","CDCA8","MELK",0.902
"1076","CDCA8","PCLAF",0.839
"1077","CDCA8","TPX2",0.919
"1078","CDCA8","CDT1",0.834
"1079","CDCA8","MCM7",0.658
"1080","CDCA8","CKS1B",0.592
"1081","CDCA8","TYMS",0.679
"1082","CDCA8","KIF15",0.902
"1083","CDCA8","TACC3",0.904
"1084","CDCA8","CDKN3",0.72
"1085","CDCA8","CENPA",0.971
"1086","CDCA8","HSPD1",0.459
"1087","CDCA8","UBE2C",0.966
"1088","CDCA8","IQGAP3",0.633
"1089","CDCA8","EXO1",0.658
"1090","CDCA8","CENPF",0.962
"1091","CDCA8","DTL",0.549
"1092","CDCA8","TTK",0.946
"1093","CDCA8","CEP55",0.923
"1094","CDCA8","STIL",0.463
"1095","CDCA8","RAD54L",0.761
"1096","CDCA8","KIF2C",0.977
"1097","CDCA8","VSNL1",0.43
"1098","CDCA8","RFC4",0.479
"1099","CDCA8","POLR1C",0.485
"1100","CDCA8","RPS15",0.529
"1101","CDCA8","CHEK1",0.626
"1102","CDCA8","UBE2T",0.687
"1103","CDCA8","CKS2",0.687
"1104","CDCA8","TK1",0.704
"1105","CDCA8","MCM3",0.715
"1106","CDCA8","UHRF1",0.743
"1107","CDCA8","HMMR",0.864
"1108","CDCA8","PTTG1",0.893
"1109","CDCA8","PRC1",0.894
"1110","CDCA8","PBK",0.912
"1111","CDCA8","TOP2A",0.92
"1112","CDCA8","KIF4A",0.932
"1113","CDCA8","RCC2",0.933
"1114","CDCA8","NUSAP1",0.949
"1115","CDCA8","KIF20A",0.98
"1116","CDH3","CLDN2",0.425
"1117","CDH3","KIF20A",0.469
"1118","CDH3","CLDN1",0.516
"1119","CDH3","SERPINB5",0.527
"1120","CDK4","RNASEH2A",0.443
"1121","CDK4","TRAP1",0.406
"1122","CDK4","PAICS",0.403
"1123","CDK4","SHMT2",0.404
"1124","CDK4","PAQR4",0.417
"1125","CDK4","PRC1",0.42
"1126","CDK4","MELK",0.424
"1127","CDK4","MET",0.427
"1128","CDK4","TACC3",0.433
"1129","CDK4","RFC4",0.442
"1130","CDK4","TTK",0.456
"1131","CDK4","TK1",0.484
"1132","CDK4","EXO1",0.485
"1133","CDK4","UBE2C",0.504
"1134","CDK4","PRKDC",0.509
"1135","CDK4","PBK",0.517
"1136","CDK4","TYMS",0.56
"1137","CDK4","PTTG1",0.57
"1138","CDK4","KIF11",0.588
"1139","CDK4","MCM4",0.62
"1140","CDK4","MAD2L1",0.637
"1141","CDK4","CKS2",0.682
"1142","CDK4","CHEK1",0.688
"1143","CDK4","CDT1",0.707
"1144","CDK4","MCM3",0.709
"1145","CDK4","TFDP1",0.721
"1146","CDK4","DNMT1",0.738
"1147","CDK4","E2F5",0.756
"1148","CDK4","TOP2A",0.773
"1149","CDK4","CDKN3",0.835
"1150","CDK4","MCM2",0.855
"1151","CDK4","CKS1B",0.865
"1152","CDK4","MCM7",0.878
"1153","CDK4","MYC",0.966
"1154","CDKN3","TRIP13",0.57
"1155","CDKN3","RAD51AP1",0.586
"1156","CDKN3","TROAP",0.47
"1157","CDKN3","KIF11",0.848
"1158","CDKN3","MCM4",0.436
"1159","CDKN3","MAD2L1",0.87
"1160","CDKN3","MELK",0.842
"1161","CDKN3","PCLAF",0.635
"1162","CDKN3","TPX2",0.818
"1163","CDKN3","CDT1",0.543
"1164","CDKN3","CKS1B",0.638
"1165","CDKN3","TYMS",0.597
"1166","CDKN3","KIF15",0.727
"1167","CDKN3","UHRF1",0.403
"1168","CDKN3","RFC4",0.441
"1169","CDKN3","DNMT1",0.442
"1170","CDKN3","EXO1",0.445
"1171","CDKN3","DTL",0.573
"1172","CDKN3","TK1",0.574
"1173","CDKN3","MYC",0.598
"1174","CDKN3","CHEK1",0.704
"1175","CDKN3","CKS2",0.725
"1176","CDKN3","CENPF",0.725
"1177","CDKN3","KIF2C",0.791
"1178","CDKN3","UBE2T",0.796
"1179","CDKN3","KIF4A",0.803
"1180","CDKN3","CEP55",0.822
"1181","CDKN3","CENPA",0.824
"1182","CDKN3","NUSAP1",0.831
"1183","CDKN3","HMMR",0.833
"1184","CDKN3","KIF20A",0.835
"1185","CDKN3","PTTG1",0.84
"1186","CDKN3","UBE2C",0.847
"1187","CDKN3","TTK",0.849
"1188","CDKN3","PBK",0.861
"1189","CDKN3","TOP2A",0.863
"1190","CDKN3","PRC1",0.883
"1191","CDT1","TRIP13",0.606
"1192","CDT1","RNASEH2A",0.776
"1193","CDT1","RAD51AP1",0.604
"1194","CDT1","TROAP",0.472
"1195","CDT1","KIF11",0.795
"1196","CDT1","MCM4",0.999
"1197","CDT1","CHTF18",0.724
"1198","CDT1","POLQ",0.464
"1199","CDT1","MCM2",0.999
"1200","CDT1","MAD2L1",0.691
"1201","CDT1","MELK",0.537
"1202","CDT1","PCLAF",0.5
"1203","CDT1","TPX2",0.715
"1204","CDT1","UBE2T",0.401
"1205","CDT1","PRC1",0.463
"1206","CDT1","HMMR",0.477
"1207","CDT1","KIF4A",0.481
"1208","CDT1","CEP55",0.487
"1209","CDT1","KIF15",0.494
"1210","CDT1","TTK",0.501
"1211","CDT1","MYC",0.513
"1212","CDT1","UHRF1",0.548
"1213","CDT1","LMNB2",0.565
"1214","CDT1","CENPF",0.584
"1215","CDT1","TK1",0.588
"1216","CDT1","KIF20A",0.591
"1217","CDT1","PTTG1",0.596
"1218","CDT1","RAD54L",0.609
"1219","CDT1","PBK",0.611
"1220","CDT1","CENPA",0.632
"1221","CDT1","TYMS",0.649
"1222","CDT1","KIF2C",0.659
"1223","CDT1","TFDP1",0.697
"1224","CDT1","RFC4",0.706
"1225","CDT1","NUSAP1",0.73
"1226","CDT1","TIMELESS",0.753
"1227","CDT1","UBE2C",0.757
"1228","CDT1","CKS2",0.864
"1229","CDT1","TOP2A",0.868
"1230","CDT1","EXO1",0.87
"1231","CDT1","CKS1B",0.873
"1232","CDT1","CHEK1",0.934
"1233","CDT1","DTL",0.998
"1234","CDT1","MCM7",0.999
"1235","CDT1","MCM3",0.999
"1236","CEL","DHCR7",0.913
"1237","CENPA","TRIP13",0.661
"1238","CENPA","FBL",0.636
"1239","CENPA","RAD51AP1",0.554
"1240","CENPA","TROAP",0.656
"1241","CENPA","KIF11",0.942
"1242","CENPA","MCM4",0.743
"1243","CENPA","MCM2",0.628
"1244","CENPA","MAD2L1",0.865
"1245","CENPA","MELK",0.882
"1246","CENPA","PCLAF",0.77
"1247","CENPA","TPX2",0.882
"1248","CENPA","MCM7",0.464
"1249","CENPA","CKS1B",0.541
"1250","CENPA","PRKDC",0.46
"1251","CENPA","TYMS",0.55
"1252","CENPA","KIF15",0.865
"1253","CENPA","TACC3",0.672
"1254","CENPA","LMNB2",0.628
"1255","CENPA","STIL",0.419
"1256","CENPA","MCM3",0.447
"1257","CENPA","DTL",0.465
"1258","CENPA","UBE2T",0.484
"1259","CENPA","DNMT1",0.492
"1260","CENPA","UHRF1",0.511
"1261","CENPA","MYC",0.527
"1262","CENPA","TK1",0.534
"1263","CENPA","RAD54L",0.551
"1264","CENPA","RCC2",0.574
"1265","CENPA","CKS2",0.605
"1266","CENPA","RFC4",0.652
"1267","CENPA","EXO1",0.75
"1268","CENPA","PTTG1",0.761
"1269","CENPA","PRC1",0.772
"1270","CENPA","CHEK1",0.797
"1271","CENPA","HMMR",0.87
"1272","CENPA","NUSAP1",0.874
"1273","CENPA","TTK",0.905
"1274","CENPA","KIF4A",0.906
"1275","CENPA","KIF20A",0.913
"1276","CENPA","TOP2A",0.919
"1277","CENPA","CEP55",0.92
"1278","CENPA","PBK",0.925
"1279","CENPA","UBE2C",0.938
"1280","CENPA","CENPF",0.965
"1281","CENPA","KIF2C",0.986
"1282","CENPF","TRIP13",0.746
"1283","CENPF","RAD51AP1",0.602
"1284","CENPF","TROAP",0.764
"1285","CENPF","KIF11",0.972
"1286","CENPF","MCM4",0.579
"1287","CENPF","POLQ",0.546
"1288","CENPF","MCM2",0.471
"1289","CENPF","MAD2L1",0.915
"1290","CENPF","MELK",0.919
"1291","CENPF","PCLAF",0.898
"1292","CENPF","TPX2",0.954
"1293","CENPF","MCM7",0.405
"1294","CENPF","CKS1B",0.591
"1295","CENPF","TYMS",0.684
"1296","CENPF","KIF15",0.959
